ticker,earnings_date,eps_estimate,reported_eps,surprise_pct
AAPL,2026-04-30,1.94,,
AAPL,2026-01-29,2.67,2.84,6.25
AAPL,2025-10-30,1.77,1.85,4.52
AAPL,2025-07-31,1.43,1.57,9.48
AAPL,2025-05-01,1.63,1.65,1.5
AAPL,2025-01-30,2.35,2.4,2.26
AAPL,2024-10-31,1.6,1.64,2.28
AAPL,2024-08-01,1.34,1.4,4.3
AAPL,2024-05-02,1.51,1.53,1.46
AAPL,2024-02-01,2.1,2.18,3.66
AAPL,2023-11-02,1.39,1.46,4.93
AAPL,2023-08-03,1.19,1.26,5.66
AAPL,2023-05-04,1.43,1.52,6.28
AAPL,2023-02-02,1.95,1.88,-3.67
AAPL,2022-10-27,1.27,1.29,1.44
AAPL,2022-07-28,1.16,1.2,3.86
AAPL,2022-04-28,1.43,1.52,6.3
AAPL,2022-01-27,1.89,2.1,11.16
AAPL,2021-10-28,1.24,1.24,0.17
AAPL,2021-07-27,1.01,1.3,28.18
AAPL,2021-04-28,0.99,1.4,41.59
AAPL,2021-01-27,1.42,1.68,18.67
AAPL,2020-10-29,0.7,0.73,4.48
AAPL,2020-07-30,0.52,0.65,24.47
AAPL,2020-04-30,0.56,0.64,12.93
MSFT,2026-04-29,4.07,,
MSFT,2026-01-28,3.92,4.14,5.69
MSFT,2025-10-29,3.66,3.72,1.59
MSFT,2025-07-30,3.38,3.65,8.09
MSFT,2025-04-30,3.22,3.46,7.4
MSFT,2025-01-29,3.12,3.23,3.47
MSFT,2024-10-30,3.11,3.3,6.25
MSFT,2024-07-30,2.94,2.95,0.23
MSFT,2024-04-25,2.84,2.94,3.4
MSFT,2024-01-30,2.77,2.93,5.83
MSFT,2023-10-24,2.65,2.99,12.85
MSFT,2023-07-25,2.55,2.69,5.59
MSFT,2023-04-25,2.23,2.45,9.77
MSFT,2023-01-24,2.32,2.32,0.21
MSFT,2022-10-25,2.31,2.35,1.92
MSFT,2022-07-26,2.29,2.23,-2.69
MSFT,2022-04-26,2.2,2.22,1.06
MSFT,2022-01-25,2.32,2.48,6.97
MSFT,2021-10-26,2.08,2.27,9.3
MSFT,2021-07-27,1.93,2.17,12.71
MSFT,2021-04-27,1.78,1.95,9.67
MSFT,2021-01-26,1.64,2.03,23.99
MSFT,2020-10-27,1.55,1.82,17.72
MSFT,2020-07-22,1.37,1.46,6.42
MSFT,2020-04-29,1.27,1.4,10.34
GOOGL,2026-04-29,2.66,,
GOOGL,2026-02-04,2.64,2.82,7.01
GOOGL,2025-10-29,2.26,2.87,26.88
GOOGL,2025-07-23,2.19,2.31,5.67
GOOGL,2025-04-24,2.01,2.81,40.1
GOOGL,2025-02-04,2.13,2.15,1.18
GOOGL,2024-10-29,1.85,2.12,14.83
GOOGL,2024-07-23,1.84,1.89,2.54
GOOGL,2024-04-25,1.51,1.89,25.58
GOOGL,2024-01-30,1.6,1.64,2.53
GOOGL,2023-10-24,1.45,1.55,7.05
GOOGL,2023-07-25,1.34,1.44,7.23
GOOGL,2023-04-25,1.07,1.17,9.45
GOOGL,2023-02-02,1.19,1.05,-11.87
GOOGL,2022-10-25,1.26,1.06,-16.01
GOOGL,2022-07-26,1.29,1.21,-6.05
GOOGL,2022-04-26,1.28,1.23,-3.67
GOOGL,2022-02-01,1.36,1.53,12.65
GOOGL,2021-10-26,1.16,1.4,20.44
GOOGL,2021-07-27,0.96,1.36,42.7
GOOGL,2021-04-27,0.78,1.31,67.88
GOOGL,2021-02-02,0.79,1.12,41.85
GOOGL,2020-10-29,0.56,0.82,46.48
GOOGL,2020-07-30,0.41,0.51,24.14
GOOGL,2020-04-28,0.54,0.49,-8.29
AMZN,2026-04-30,1.65,,
AMZN,2026-02-05,1.96,1.95,-0.49
AMZN,2025-10-30,1.56,1.95,25.2
AMZN,2025-07-31,1.33,1.68,26.13
AMZN,2025-05-01,1.36,1.59,17.08
AMZN,2025-02-06,1.48,1.86,25.36
AMZN,2024-10-31,1.14,1.43,25.17
AMZN,2024-08-01,1.03,1.26,22.92
AMZN,2024-04-30,0.83,0.98,17.67
AMZN,2024-02-01,0.8,1.0,24.38
AMZN,2023-10-26,0.58,0.94,62.22
AMZN,2023-08-03,0.34,0.65,91.19
AMZN,2023-04-27,0.21,0.31,46.82
AMZN,2023-02-02,0.16,0.03,-81.68
AMZN,2022-10-27,0.21,0.28,33.0
AMZN,2022-07-28,0.12,-0.2,-273.3
